d_type,species,municipality,date,rot,lat,long,mean_temp_3m,mean_temp_1y,mean_temp_5y,min_temp,max_temp,humidity,soil_humidity,climate_risk_factor
Snø,dun-/vanlig bjørk,Sør-Fron,20.08.2013,No,61.568889,9.923333,0.0132199670872179,0.0132199670872179,0.0132199670872179,-2.068169959001118,3.434588147595979,81.09375,,
Storm,"gran, gråor",Gausdal,03.06.2020,No,61.276667,9.9225,4.854270923209658,4.854270923209658,4.854270923209658,,,,,
Honningsopper,sitkagran,Eigersund,16.06.1995,Yes,58.478333,6.063056,,,,,,,,
Snø,dun-/vanlig bjørk,Ål,02.06.2016,No,60.675556,8.576944,1.6799031476997577,1.6799031476997577,1.6799031476997577,,,,,
Honningsopper,gråor,Rauma,08.09.2020,Yes,62.504719,7.781939,,,,,,,,
"Annet / diverse, Honningsopper",ask,Asker,07.01.1976,Yes,59.7,10.5,,,,,,,,
Kjukeordenen,bøk,Hyllestad,03.02.1997,No,61.170833,5.293056,7.212619947659203,7.212619947659203,7.212619947659203,,10.721197411003228,83.12135922330097,,
Heggspinnmøll,hegg,Horten,10.06.2024,No,59.420831,10.432781,7.26796675191816,7.26796675191816,7.26796675191816,,,,,
Tyritoppsopp,berg-/buskfuru,Lillestrøm,19.06.1991,Yes,59.954,11.04,,,,,,,,
Honningsopper,ask,Horten,13.07.2023,Yes,59.420831,10.432781,7.319836272040305,7.319836272040305,7.319836272040305,,,,,
Toppråtesopp,furu,Midt-Telemark,15.10.1992,Yes,59.45,9.1,,,,,,,,
"Dobbeltøyet barkbille, Granbarkbille, Honningsopper, Liten granbarkbille, Tørke",gran,Ås,23.07.2007,Yes,59.660278,10.783611,,,,,,,,
Storm,gran,Søndre Land,14.09.2023,No,60.676944,10.278889,3.221015873015876,3.221015873015876,3.221015873015876,,,,,
Heggspinnmøll,hegg,Bærum,30.05.2024,No,59.8904,10.526,7.588712328767132,7.588712328767132,7.588712328767132,3.987205479452048,11.519041095890378,74.26794520547945,,
Tørke,gran,Snåase - Snåsa,25.06.2013,No,64.24606,12.38298,3.38116527256995,3.38116527256995,3.38116527256995,-0.8489916379734394,7.402459419576972,79.62575342465753,,
Almesjukesopp,alm,Bærum,02.09.1993,No,59.8904,10.526,6.890602739726034,6.890602739726034,6.890602739726034,3.5596164383561746,10.926575342465789,70.65424657534247,,
"Skader i planteskoler, Skader på rot eller stubbe, rotavdøing",berg-/buskfuru,Asker,31.08.1989,Yes,59.7,10.5,,,,-8.75,32.8,,,
"Skader i ved (misfarging, råte)",gran,Gran,31.07.1986,Yes,60.441111,10.495556,,,,,,,,
Storm,gran,Holmestrand,20.09.2022,No,59.495281,10.248611,7.3019267822736,7.3019267822736,7.3019267822736,2.7520445062586933,11.940862308762185,74.11276948590381,,
Storm,dun-/vanlig bjørk,Brønnøy,24.07.2023,No,65.475833,12.400278,7.022767123287663,7.022767123287663,7.022767123287663,4.306349642660794,9.894557449147866,75.74246575342465,,
Jordras,hengebjørk,Drammen,04.07.2022,No,59.745361,10.205969,7.251995595926228,7.251995595926228,7.251995595926228,2.739221140472888,11.864311543810864,74.3731343283582,,
Tyritoppsopp,furu,Kragerø,09.06.1993,Yes,58.886944,9.346944,,,,,,,,
Snø,dun-/vanlig bjørk,Voss,06.08.2020,No,60.7025,6.423056,2.164187866927593,2.164187866927593,2.164187866927593,,,,,
"Skader i planteskoler, Skader på rot eller stubbe, rotavdøing",lawsonsypress,Kristiansand,14.08.1985,Yes,58.146722,7.995611,,,,,,,,
Honningsopper,gran,Bærum,09.05.1979,Yes,59.8904,10.526,5.83112328767124,5.83112328767124,5.83112328767124,2.4575342465753334,9.726684931506838,72.38082191780822,,
Honningsopper,"tuja, ukjent art",Fredrikstad,20.08.2008,Yes,59.216667,10.95,,,,,,,,
Snø,"furu, osp",Birkenes,12.07.2018,No,58.449444,8.233333,6.399150452178692,6.399150452178692,6.399150452178692,1.858807364660611,11.218191810937071,81.47835616438356,,
Bjørkerust,dun-/vanlig bjørk,Arendal,15.08.2013,No,58.466667,8.766667,7.67651411345575,7.67651411345575,7.67651411345575,5.850741839762613,10.295140949554888,79.71506849315068,,
Storm,dun-/vanlig bjørk,Snåase - Snåsa,12.08.2019,No,64.24606,12.38298,4.476767123287681,4.476767123287681,4.476767123287681,0.1511294765840236,8.5954820936639,77.11506849315069,,
Vanlig granbarrust,gran,Lillehammer,29.09.2022,No,61.11464,10.46743,5.162253289473689,5.162253289473689,5.162253289473689,1.3352472527472536,9.460439560439566,74.05595172792101,,
Hjortedyr,rogn,Hamarøy,02.08.2023,No,68.066667,15.766667,5.326367006487494,5.326367006487494,5.326367006487494,2.451551644279762,8.066929133858272,75.15940685820203,,
Tørke,furu,Stjørdal,11.07.2018,No,63.475,11.170833,2.9993894993894994,2.9993894993894994,2.9993894993894994,,,,,
"Skader i planteskoler, Skader på rot eller stubbe, rotavdøing",gran,Overhalla,13.11.1978,Yes,64.507778,11.893889,,,,,,,,
"Dobbeltøyet barkbille, Honningsopper, Tørke",gran,Nesodden,10.03.1993,Yes,59.808611,10.655556,6.933589041095894,6.933589041095894,6.933589041095894,3.6460821917808297,10.935945205479474,70.32602739726028,,
Honningsopper,ukjent,Indre Østfold,08.11.2013,Yes,59.582222,11.170278,,,,,,,,
"Snø, Toppråtesopp",gran,Elverum,03.05.1988,Yes,60.883333,11.566667,,,,,,,,
"Fjellbjørkmåler, Målere",fjellbjørk,Nordre Land,14.06.2008,No,60.834722,10.075278,3.209479452054788,3.209479452054788,3.209479452054788,-0.8976986301369861,8.098026315789474,78.25123422929238,,
Snø,furu,Nesbyen,07.07.2022,No,60.558333,9.101111,4.753589041095876,4.753589041095876,4.753589041095876,-0.3092602739726025,10.21821917808223,73.21917808219177,,
"Abiotiske skader, Skader i planteskoler, Skader på rot eller stubbe, rotavdøing",gran,Midt-Telemark,11.10.1988,Yes,59.45,9.1,,,,,,,,
"Skader i planteskoler, Skader på rot eller stubbe, rotavdøing",furu,Sør-Aurdal,29.05.1986,Yes,60.696389,9.658889,,,,,,,,
